ID,Year,Release Date,Artist,Title,Type
1,2016,February 24,Poppin'Party,Yes! BanG Dream!,Single
2,2016,August 3,Poppin'Party,STAR BEAT! ~Hoshi no Kodou~,Single
3,2016,December 7,Poppin'Party,Hashiri Hajimeta Bakari no Kimi ni/Teardrops,Single
4,2017,February 1,Poppin'Party,Tokimeki Experience!,Single
5,2017,February 15,Poppin'Party,Kirakira datoka yume datoka ~Sing Girls~,Single
6,2017,April 5,Aimi,Dokidoki SING OUT!,Single
7,2017,April 19,Roselia,BLACK SHOUT,Single
8,2017,April 26,Various Artists,BanG Dream! Original Soundtrack,Soundtrack
9,2017,May 10,Poppin'Party,Mae e Susume!/Yumemiru Sunflower,Single
10,2017,June 21,Otsuka Sae,Hanazono Denki Guitar!!!,Single
11,2017,June 21,Nishimoto Rimi,Chocolate no Teion Recipe,Single
12,2017,June 28,Roselia,Re:birth day,Single
13,2017,July 12,Pastel*Palettes,Shuwarin☆Drea~min,Single
14,2017,July 26,Ohashi Ayaka,Tooi Ongaku ~Heartbeat~,Single
15,2017,July 26,Itou Ayasa,Su-Suki Nanka Janai!,Single
16,2017,August 2,"Hello, Happy World!",Egao no Orchestra!,Single
17,2017,August 30,Roselia,Nesshoku Starmine,Single
18,2017,September 6,Afterglow,That Is How I Roll!,Single
19,2017,September 20,Poppin'Party,Time Lapse,Single
20,2017,November 29,Roselia,ONENESS,Single
21,2017,December 13,Poppin'Party,Christmas no Uta,Single
22,2018,January 17,Pastel*Palettes,Yura-Yura Ring-Dong-Dance,Single
23,2018,January 30,Afterglow,Hey-day Capriccio,Single
24,2018,February 14,"Hello, Happy World",Goka! Gokai!? Phantom Thief!,Single
25,2018,March 21,Poppin'Party,CiRCLING,Single
26,2018,March 21,Roselia,Opera of the wasteland,Single
27,2018,May 2,Roselia,Anfang,Album
28,2018,June 27,Various Artists,BanG Dream! Girls Band Party! Cover Collection Vol.1,Cover Collection
29,2018,July 11,Poppin'Party,Double Rainbow/Saikou (Saa Ikou!),Single
30,2018,July 25,Roselia,R,Single
31,2018,August 8,Pastel*Palettes,Mou Ichido Luminous,Single
32,2018,August 22,Special Band,Picotto! Papitto!! GARUPA☆PICO!!!,Single
33,2018,October 3,Poppin'Party,Girl's Code,Single
34,2018,October 31,Afterglow,"Tsunagu, Soramoyou",Single
35,2018,November 21,Glitter*Green,Don't be afraid!,Single
36,2018,December 5,"Hello, Happy World!",Kimi ga Inakucha!,Single
37,2018,December 12,Poppin'Party,KIZUNA MUSIC♪,Single
38,2018,December 12,Roselia,BRAVE JEWEL,Single
39,2018,December 12,RAISE A SUILEN,R・I・O・T,Single
40,2019,January 30,Poppin'Party,Poppin'on!,Album
41,2019,February 20,Poppin'Party,Jumpin',Single
42,2019,February 20,Afterglow,Y.O.L.O!!!!!,Single
43,2019,February 20,Pastel*Palettes,Tenka Toitsu A to Z☆,Single
44,2019,February 20,Roselia,Safe and Sound,Single
45,2019,February 20,"Hello, Happy World!",High Five ∞ Adventure,Single
46,2019,February 20,RAISE A SUILEN,A DECLARATION OF ×××,Single
47,2019,March 16,Various Artists,BanG Dream! Girls Band Party! Cover Collection Vol.2,Cover Collection
48,2019,May 15,Poppin'Party,Dreamers Go!/Returns,Single
49,2019,June 19,RAISE A SUILEN,Invincible Fighter,Single
50,2019,July 24,Roselia,FIRE BIRD,Single
51,2019,July 31,Poppin'Party,NO GIRL NO CRY,Single
52,2019,August 21,"Hello, Happy World!",Egao Sing A Song,Single
53,2019,September 18,Pastel*Palettes,Kyu~mai＊flower,Single
54,2019,September 25,Various Artists,BanG Dream! FILM LIVE Insert Song Collection,Soundtrack
55,2019,October 23,Afterglow,ON YOUR MARK,Single
56,2019,December 18,Various Artists,BanG Dream! Girls Band Party! Cover Collection Vol.3,Cover Collection
57,2020,January 8,Poppin'Party,Initial/Yume wo Uchinuku Shunkan ni!,Single
58,2020,January 15,Roselia,Yakusoku,Single
59,2020,January 22,RAISE A SUILEN,DRIVE US CRAZY,Single
60,2020,March 4,Pastel*Palettes,Wakuwaku meets Trip,Single
61,2020,March 11,Afterglow,"Easy come, Easy go!",Single
62,2020,March 18,"Hello, Happy World!",Nico x Nico = Hyper Smile Power!,Single
63,2020,April 8,Various Artists,BanG Dream! 2nd & 3rd Season Original Soundtrack,Soundtrack
64,2020,May 27,Morfonica,Daylight,Single
65,2020,May 27,Various Artists,BanG Dream! Girls Band Party! Cover Collection Vol.4,Cover Collection
67,2020,June 24,Poppin'Party,Breakthrough!,Album
68,2020,July 15,Roselia,Wahl,Album
69,2020,August 12,Special Band,Ohmori Icchou! Garupa☆Pico,Single
70,2020,August 19,RAISE A SUILEN,ERA,Album
71,2020,September 30,Pastel*Palettes,Yume Yume Gradation,Single
72,2020,October 21,RAISE A SUILEN,Sacred world,Single
73,2020,October 28,Afterglow,Sasanqua,Single
74,2020,November 25,"Hello, Happy World!",We Can☆Hurray!,Single
75,2020,December 16,Various Artists,Garupa Vocaloid Cover Collection,Cover Collection
76,2021,January 6,Poppin'Party,Photograph,Single
77,2021,January 13,Morfonica,Bloom Bloom,Single
78,2021,January 20,Roselia,ZEAL of proud,Single
79,2021,January 27,RAISE A SUILEN,mind of Prominence,Single
80,2021,February 24,Various Artists,BanG Dream! Girls Band Party! Cover Collection Vol.5,Cover Collection
82,2021,March 24,Afterglow,ONE OF US,Album
