ID,Year,Release Date,Artist,Title,Type
1,2021,June 9,Leo/need,needLe/Stella,Single
2,2021,June 23,MORE MORE JUMP!,Idol Shinseitai / More! Jump! More!,Single
3,2021,July 7,Vivid BAD SQUAD,Ready Steady/Forward,Single
4,2021,July 21,Wonderlands×Showtime,The world hasn't even started yet/I'm going to become potato,Single
5,2021,August 4,Nightcord at 25:00,Write regret and future / mobile love story / jackpot sad girl,Single
6,2021,November 17,Vivid BAD SQUAD,RAD DOGS/Cinema,Single
7,2021,December 8,Various Artists,Sekai / Wah Wah World / Ultramarine Hymn,Single
8,2021,December 15,MORE MORE JUMP!,Color of Drops / Tenshi no Clover,Single
9,2022,January 19,Nightcord at 25:00,Infinitely Gray / I'm Smile,Single
10,2022,February 2,Wonderlands×Showtime,Wonderlands x Showtime SEKAI ALBUM vol.1,Album
11,2022,February 16,Leo/need,"Kare wo Machi/""1""",Single
12,2022,March 2,MORE MORE JUMP!,MORE MORE JUMP! SEKAI ALBUM vol.1,Album
13,2022,March 16,Wonderlands×Showtime,Nijiiro Stories/Once Upon a Dream,Single
14,2022,April 6,Nightcord at 25:00,Nightcord at 25:00 SEKAI ALBUM vol.1,Album
15,2022,May 11,Leo/need,Leo/need SEKAI ALBUM vol.1,Album
16,2022,June 1,Vivid BAD SQUAD,Vivid BAD SQUAD SEKAI ALBUM vol.1,Album
17,2022,October 19,Nightcord at 25:00,Kanade Tomos Sora/Rebirth,Single
18,2022,November 16,Leo/need,From Tokyo/Ryusei no Pulse,Single
19,2022,December 14,Vivid BAD SQUAD,Beat Eater/Awake Now,Single
20,2023,January 18,MORE MORE JUMP!,Ai no Material/Ice Drop,Single
21,2023,February 15,Wonderlands×Showtime,Tondemo Wonders/Glory Steady Go!,Single
22,2023,March 29,Vivid BAD SQUAD,Mirai/Flyer!,Single
23,2023,April 12,Nightcord at 25:00,Lower/Tricologe,Single
24,2023,April 26,Wonderlands×Showtime,Showtime Ruler/Theme of Niccori Survey Team,Single
25,2023,May 10,MORE MORE JUMP!,Worldwide Wonder/Metamo Ribbon,Single
26,2023,May 24,Leo/need,STAGE OF SEKAI/Peaky Peaky,Single
